Feiertage;Art;von;bis;Beschreibung
Bodhi Budhas Erleuchtung;buddhistisch;08.12.2018;;Der Bodhi-Tag oder auch Erleuchtungstag genannt, ist ein Gedenktag im Mahayana-Buddhismus, der an die Erleuchtung von Shakyamuni Buddha unter dem Bodhi-Baum erinnert.
Mariä Empfängnis;christ.kath.;08.12.2018;;Die römisch-katholische Kirche begeht am 8. Dezember, neun Monate vor dem Fest der Geburt Mariens, das Hochfest der Empfängnis Mariens. Das Fest ging aus dem ursprünglichen Fest Mariä Empfängnis hervor, das auch von der anglikanischen Kirche gefeiert wird. Die orthodoxen Kirchen feiern Mariä Empfängnis am 9. Dezember, haben aber wegen ihres nicht-augustinischen Verständnisses der Erbsünde keine speziellen Lehren darüber.
2. Advent;christ.evan./kath.;09.12.2018;;-
Internationaler Tag der Menschenrechte;säkular;10.12.2018;;Der Tag der Menschenrechte wird am 10. Dezember gefeiert und ist der Gedenktag zur Allgemeinen Erklärung der Menschenrechte, die am 10. Dezember 1948 durch die Generalversammlung der Vereinten Nationen verabschiedet wurde. Die Menschenrechte sollen jedes menschliche Leben auf der Erde betreffen. Durch die Tatsache, dass dieses Ziel noch nicht erreicht ist, nutzen Menschenrechtsorganisationen den Tag der Menschenrechte, um auf diesen Missstand hinzuweisen. Jedes Jahr steht ein anderes Thema im Mittelpunkt des Internationalen Tages der Menschenrechte. Es geht beispielsweise um religiöse oder politische Verfolgung, Benachteiligung von Frauen, Kinderarbeit oder die Benachteiligung von Menschen aufgrund ihrer Hautfarbe. 
3. Advent;christ.evan./kath.;16.12.2018;;-
Internationaler Tag der Migrant/-innen;säkular;18.12.2018;;Im Dezember 2000 haben die Vereinten Nationen den 18. Dezember als den Internationalen Tag der Migranten ausgerufen. Am 18. Dezember 1990 wurde die Internationale Konvention zum Schutz der Rechte aller Migranten und ihrer Familienangehörigen von der Vollversammlung der Vereinten Nationen angenommen. Sie ist der internationale Standard mit dem Regierungen ihre nationalen gesetzlichen Schutzmechanismen messen sollten. Die Konvention selbst ist jedoch noch nicht in Kraft getreten, da von den 20 nötigen Ratifizierungen bis jetzt nur 17 zustande gekommen sind. Im Dezember 2000 haben die Vereinten Nationen den Ersten Internationalen Tag der Migranten ausgerufen.
Internationaler Tag der menschlichen Solidarität;säkular;20.12.2018;;Im Dezember 2005 hatte die Generalversammlung der Vereinten Nationen Solidarität als einen wesentlichen und allgemeingültigen Wert anerkannt und den 20. Dezember zum Internationalen Tag der menschlichen Solidarität erklärt. (Weitere Informationen: http://www.unric.org/de/uno-schlagzeilen/26873-internationaler-tag-der-menschlichen-solidaritaet)
4. Advent;christ.evan./kath.;23.12.2018;;-
Heiligabend;christ.evan./kath.;24.12.2018;;"Am Vorabend von Weihnachten brennen die Kerzen des Weihnachtsbaumes zum ersten Mal. In den Familien und unter Freunden werden
Geschenke verteilt und Armen und Bedürftigen wird gespendet. Die meisten Christen besuchen den Gottesdienst an diesem Abend,
in dem sie feiern, dass Gott Mensch wurde. So erhalten nach christlicher Überzeugung auch die Menschen Anteil an Gott."
1.Weihnachtsfeiertag;christ.evan./kath.;25.12.2018;;"Zwei Tage lang feiern die Christen die Geburt Jesu Christi in Bethlehem. Das Fest wird seit 336 n.Chr. an dem Tag der
Wintersonnenwende (auf der Nordhalbkugel der Erde) anstelle des römischen Festes des Sonnengottes (Sol Invictus) gefeiert. So wird
deutlich: In Christus wird die „Sonne der Barmherzigkeit“ und das wahre „Licht der Welt“ gefeiert."
2.Weihnachtsfeiertag;christ.evan./kath.;26.12.2018;;"Zwei Tage lang feiern die Christen die Geburt Jesu Christi in Bethlehem. Das Fest wird seit 336 n.Chr. an dem Tag der
Wintersonnenwende (auf der Nordhalbkugel der Erde) anstelle des römischen Festes des Sonnengottes (Sol Invictus) gefeiert. So wird
deutlich: In Christus wird die „Sonne der Barmherzigkeit“ und das wahre „Licht der Welt“ gefeiert."
Fasten 10. Tewet (Asara b'Tevet);jüdisch;28.12.2018;;
Silvester;säkular;31.12.2018;;"Silvester, der 31. Dezember, ist seit der gregorianischen Kalenderreform 1582 der letzte Tag des Jahres. Der Name erinnert an Papst
Silvester, der am 31. Dezember 335 starb. In Gottesdiensten reflektieren die Christen die Ereignisse des zu Ende gehenden Jahres und
bitten um Gottes Segen für das neue Jahr."
